product_id,units_sold,inventory_level,revenue,cum_pct,abc_class,avg_daily_demand,std_demand,safety_stock,reorder_point,inventory_ratio,risk_status,inventory_turnover
P0020,507708,276.7983584131327,28306192.4,5.144439555300699,A,138.9077975376197,110.2297818054266,181.87913997895387,1154.2337227422918,0.2398113596572971,HIGH RISK,0.5018375048680536
P0011,499362,272.8076607387141,28155025.56,10.261405663796669,A,136.62435020519837,108.24598882940246,178.60588156851406,1134.9763330049027,0.2403641845257188,HIGH RISK,0.5008083344699492
P0016,508472,277.5050615595075,28153328.38,15.378063322473565,A,139.11682626538988,109.38982269901389,180.49320745337292,1154.310991311102,0.24040753631247044,HIGH RISK,0.5013127525803993
P0014,507622,277.8922024623803,28110375.77,20.486914664328868,A,138.884268125855,110.20383667207814,181.8363305089289,1154.026207389914,0.2408023324625314,MEDIUM RISK,0.4997774924780643
P0005,503648,273.04186046511626,27916663.02,25.56056015725247,A,137.7969904240766,106.85499764571136,176.31074611542374,1140.88967908396,0.239323630909122,HIGH RISK,0.5046734965449794
P0013,500619,275.1113543091655,27914863.65,30.63387862808593,A,136.96826265389876,108.14916810201095,178.44612736831806,1137.2239659456093,0.24191484047771417,MEDIUM RISK,0.4978648118607861
P0015,507283,276.40820793433653,27742249.64,35.675825788773025,A,138.79151846785226,109.9149558509863,181.35967715412738,1152.9003064290932,0.23975031179448858,HIGH RISK,0.5021251702511799
P0009,502086,275.32476060191516,27675549.22,40.70565064511928,A,137.36963064295486,110.56080563663478,182.42532930044737,1144.0127438011314,0.2406658160879509,HIGH RISK,0.49893671147715624
P0007,499321,274.71326949384405,27632505.0,45.72765253520903,A,136.61313269493843,110.50535131027652,182.33382966195626,1138.6257585265253,0.24126739399374336,MEDIUM RISK,0.49729353426081857
P0001,498061,272.9939808481532,27477692.24,50.721518359700326,A,136.26839945280437,109.31567463744005,180.3708631517761,1134.2496593214066,0.2406824446493365,MEDIUM RISK,0.49916265197290416
P0004,495501,271.55649794801644,27477122.68,55.715280670905486,A,135.56798905608755,109.26322251264463,180.28431714586364,1129.2602405384766,0.24047291155715125,HIGH RISK,0.49922572312019975
P0018,492551,272.53871409028727,27287304.88,60.67454501131962,A,134.7608755129959,108.53595678364891,179.0843286930207,1122.4104572839922,0.2428155514069035,SAFE,0.49446507430262554
P0010,496469,274.92257181942546,27248852.75,65.62682096361847,A,135.8328317373461,109.72135536807404,181.04023635732216,1131.8700585187448,0.2428923441788106,SAFE,0.49407668071199257
P0006,497131,273.57127222982217,27215738.62,70.57307866952782,A,136.0139534883721,108.80724973075812,179.53196205575088,1131.6296364743555,0.24174982999044292,MEDIUM RISK,0.4971792263849593
P0019,497899,274.5253077975376,27212252.42,75.51870278456335,A,136.22407660738713,109.49312420305,180.6636549350325,1134.2321911867425,0.24203625142247365,MEDIUM RISK,0.49621682496337416
P0017,500510,278.3209302325581,27101072.39,80.44412075756433,B,136.93844049247605,107.8907330411934,178.0197095179691,1136.5887929653013,0.2448738998265443,SAFE,0.49201632222935465
P0003,493279,274.9326949384405,27057650.52,85.36164712923522,B,134.96005471956224,108.38043711079787,178.8277212328165,1123.5481042697522,0.2447004217208238,SAFE,0.49088397707584697
P0008,488563,272.774829001368,26951354.38,90.25985496948854,B,133.66976744186047,108.67512132444567,179.31395018533536,1115.0023222783586,0.24464059271552815,SAFE,0.4900370313904224
P0002,487827,271.14610123119013,26797736.64,95.13014393012412,C,133.4683994528044,106.41749182858635,175.58886151716746,1109.867657686798,0.24430489469016214,SAFE,0.4922379442181388
P0012,491670,272.51190150478794,26795354.75,100.0,C,134.51983584131327,107.74810514845251,177.78437349494664,1119.4232243841395,0.24343956384745613,SAFE,0.49362921435176216
